;cidade;codigo_municipio;codigo_orgao;nome_orgao;ano;1;2;3;4;5;6;7;8;9;10;11;12
0;Senador Canedo;229;4;CMS;2023;1;1;1;1;1;1;1;1;1;1;1;1
1;Senador Canedo;229;17;FISA;2023;1;1;1;1;1;1;1;1;1;1;1;1
2;Senador Canedo;229;11;FMAS;2023;1;1;1;1;1;0;0;0;0;0;0;0
3;Senador Canedo;229;9;FMS;2023;1;1;1;1;1;0;0;0;0;0;0;0
4;Senador Canedo;229;21;FUMDI - FUNDO MUN DOS DIREITOS DA PESSOA IDOSA;2023;1;1;1;1;1;0;0;0;0;0;0;0
5;Senador Canedo;229;22;FUMPDEC - FUNDO MUN DE PROTECAO E DEFESA CIVIL;2023;1;1;1;1;1;0;0;0;0;0;0;0
6;Senador Canedo;229;6;FUNDEF/FUNDEB;2023;1;1;1;1;1;0;0;0;0;0;0;0
7;Senador Canedo;229;5;IAMESC SENAPREV;2023;1;1;1;1;0;0;0;0;0;0;0;0
8;Senador Canedo;229;3;PODER EXECUTIVO;2023;1;1;1;1;1;0;0;0;0;0;0;0
9;Senador Canedo;229;1;PODER LEGISLATIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
10;Senador Canedo;229;10;SANEAMENTO MUNICIPAL SENADOR CANEDO - SMSC;2023;1;1;1;1;1;1;1;1;1;1;1;1
11;Senador Canedo;229;16;SENADOR CANEDO - FECESC;2023;1;1;1;1;1;1;1;1;1;1;1;1
12;Senador Canedo;229;8;SENADOR CANEDO - FEMBOM;2023;1;1;1;1;1;0;0;0;0;0;0;0
13;Senador Canedo;229;12;SENADOR CANEDO - FMCA;2023;1;1;1;1;1;0;0;0;0;0;0;0
14;Senador Canedo;229;7;SENADOR CANEDO - FUNPREV SENAPREV;2023;1;1;1;1;1;0;0;0;0;0;0;0
15;Senador Canedo;229;15;SENADOR CANEDO - PROCOM;2023;1;1;1;1;1;0;0;0;0;0;0;0
